date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2006-11-15,Wheat flour - Retail,KG,cereals and tubers,13.19,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2006-12-15,Wheat flour - Retail,KG,cereals and tubers,13.785,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-01-15,Wheat flour - Retail,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-02-15,Wheat flour - Retail,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-03-15,Wheat flour - Retail,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-04-15,Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-05-15,Wheat flour - Retail,KG,cereals and tubers,14.1,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-06-15,Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-07-15,Wheat flour - Retail,KG,cereals and tubers,15.19,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-08-15,Wheat flour - Retail,KG,cereals and tubers,15.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-09-15,Wheat flour - Retail,KG,cereals and tubers,15.696,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-10-15,Wheat flour - Retail,KG,cereals and tubers,17.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-11-15,Wheat flour - Retail,KG,cereals and tubers,19.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2007-12-15,Wheat flour - Retail,KG,cereals and tubers,19.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-01-15,Wheat flour - Retail,KG,cereals and tubers,21.05,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-02-15,Wheat flour - Retail,KG,cereals and tubers,15.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-03-15,Wheat flour - Retail,KG,cereals and tubers,15.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-04-15,Wheat flour - Retail,KG,cereals and tubers,27.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-05-15,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-06-15,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-07-15,Wheat flour - Retail,KG,cereals and tubers,27.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-08-15,Wheat flour - Retail,KG,cereals and tubers,27.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-09-15,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-10-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-11-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2008-12-15,Wheat flour - Retail,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-01-15,Wheat flour - Retail,KG,cereals and tubers,28.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-02-15,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-03-15,Wheat flour - Retail,KG,cereals and tubers,27.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-04-15,Wheat flour - Retail,KG,cereals and tubers,28.58,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-05-15,Wheat flour - Retail,KG,cereals and tubers,28.98,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-06-15,Wheat flour - Retail,KG,cereals and tubers,28.98,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-07-15,Wheat flour - Retail,KG,cereals and tubers,28.592,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-08-15,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-09-15,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-10-15,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-11-15,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2009-12-15,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-01-15,Wheat flour - Retail,KG,cereals and tubers,29.82,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-02-15,Wheat flour - Retail,KG,cereals and tubers,30.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-03-15,Wheat flour - Retail,KG,cereals and tubers,30.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
