date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2003-05-15,Maize - Wholesale,MT,cereals and tubers,4.9974,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-06-15,Maize - Wholesale,MT,cereals and tubers,5.0705,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-07-15,Maize - Wholesale,MT,cereals and tubers,4.95,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-08-15,Maize - Wholesale,MT,cereals and tubers,4.9473,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-09-15,Maize - Wholesale,MT,cereals and tubers,4.7607,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-10-15,Maize - Wholesale,MT,cereals and tubers,4.7556,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-11-15,Maize - Wholesale,MT,cereals and tubers,4.9653,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2003-12-15,Maize - Wholesale,MT,cereals and tubers,4.9274,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-01-15,Maize - Wholesale,MT,cereals and tubers,4.875,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-02-15,Maize - Wholesale,MT,cereals and tubers,4.6805,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-03-15,Maize - Wholesale,MT,cereals and tubers,5.4,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-04-15,Maize - Wholesale,MT,cereals and tubers,7.6428,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-05-15,Maize - Wholesale,MT,cereals and tubers,7.133,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-06-15,Maize - Wholesale,MT,cereals and tubers,7.1526,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-07-15,Maize - Wholesale,MT,cereals and tubers,6.0534,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-08-15,Maize - Wholesale,MT,cereals and tubers,4.91,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-09-15,Maize - Wholesale,MT,cereals and tubers,4.585,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-10-15,Maize - Wholesale,MT,cereals and tubers,4.7408,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-11-15,Maize - Wholesale,MT,cereals and tubers,5.0725,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2004-12-15,Maize - Wholesale,MT,cereals and tubers,5.381,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-01-15,Maize - Wholesale,MT,cereals and tubers,5.444,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-02-15,Maize - Wholesale,MT,cereals and tubers,5.496,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
