reefer_mmsi,fishing_mmsi,latitude,longitude,event_start_time,event_end_time,reefer_flag_iso3,fishing_flag_iso3
529578000,412420865,-15.10958001608978,-131.53893505986957,2014-10-10 18:00:00,2014-10-11 06:00:00,KIR,CHN
529578000,412420867,-19.62128231299176,-123.27989656726038,2016-01-14 19:20:00,2016-01-14 22:50:00,KIR,CHN
529578000,412420865,-15.110800969811287,-131.4613807373784,2014-10-10 18:00:00,2014-10-10 22:10:00,KIR,CHN
529578000,412420865,-15.10675106052099,-131.68769822680457,2014-10-11 03:50:00,2014-10-11 07:50:00,KIR,CHN
529578000,412420792,-15.785332928738017,-127.62551660792778,2015-05-31 19:30:00,2015-06-01 03:50:00,KIR,CHN
529578000,412695640,-13.73929533544161,-124.51001738648522,2014-06-17 20:10:00,2014-06-18 08:20:00,KIR,CHN
529578000,412420863,-14.859265719309493,-130.6886748306656,2014-10-09 04:10:00,2014-10-09 07:50:00,KIR,CHN
529578000,412420905,-6.11018181130552,-152.21625822167383,2014-05-26 21:50:00,2014-05-27 09:30:00,KIR,CHN
529578000,412420906,-6.173082945529273,-152.14116208903965,2014-05-28 07:30:00,2014-05-28 11:00:00,KIR,CHN
529578000,412695550,-15.026586779507268,-129.24366908561322,2014-10-05 19:50:00,2014-10-06 06:30:00,KIR,CHN
529578000,412420863,-14.827454165259226,-130.51040002092776,2014-10-08 19:00:00,2014-10-08 22:40:00,KIR,CHN
529578000,412420906,-19.834599300003504,-121.35823808556137,2016-01-06 16:10:00,2016-01-06 20:00:00,KIR,CHN
529578000,412420862,-10.338079887320877,-144.05194216463067,2015-09-20 18:20:00,2015-09-20 21:50:00,KIR,CHN
529578000,412695550,-15.029925823434125,-129.25945666115123,2014-10-05 23:20:00,2014-10-06 03:00:00,KIR,CHN
529578000,412420793,-16.43024616918544,-127.49701420850423,2015-06-06 01:10:00,2015-06-06 12:10:00,KIR,CHN
529578000,412420862,-14.956763080995898,-130.960712818446,2014-10-09 17:00:00,2014-10-09 22:30:00,KIR,CHN
529578000,412695560,-14.849104151553727,-129.73666614513635,2014-10-06 22:00:00,2014-10-07 08:40:00,KIR,CHN
529578000,412420436,-19.691274937540722,-124.06464774592106,2016-01-17 05:40:00,2016-01-17 14:00:00,KIR,CHN
529578000,412420864,-15.512452229301116,-122.20040463989214,2014-06-21 19:00:00,2014-06-22 07:30:00,KIR,CHN
529578000,412420862,-18.090563188335345,-121.36235049809505,2015-01-28 00:40:00,2015-01-28 04:00:00,KIR,CHN
529578000,412420867,-15.613540595316971,-122.59088122303808,2014-06-22 18:40:00,2014-06-23 06:20:00,KIR,CHN
441834000,412217999,-62.479586575842504,-59.699593108026576,2015-06-01 13:00:00,2015-06-01 16:10:00,KOR,CHN
441834000,412217999,-62.48349108194408,-59.701238745142106,2015-06-02 13:40:00,2015-06-02 16:50:00,KOR,CHN
441834000,412280982,-62.47654722405746,-59.66022974341698,2015-05-28 13:10:00,2015-05-29 01:20:00,KOR,CHN
441834000,412217999,-62.48077484587023,-59.69983960334009,2015-06-01 13:00:00,2015-06-02 16:50:00,KOR,CHN
308564000,412329687,-45.72396373602678,-60.07652253165103,2015-06-01 23:40:00,2015-06-02 04:30:00,BHS,CHN
308564000,412329685,-41.74995774498763,-56.47672853137716,2015-05-21 03:20:00,2015-05-21 11:50:00,BHS,CHN
308564000,412329691,-42.05578243906482,-57.24870677322162,2015-05-19 05:00:00,2015-05-19 12:40:00,BHS,CHN
308564000,412329694,-42.13869200399983,-57.43134493763207,2015-05-30 15:20:00,2015-05-30 23:50:00,BHS,CHN
308564000,412329691,-41.788310486995435,-56.803409609870585,2015-05-20 08:30:00,2015-05-20 11:50:00,BHS,CHN
308564000,412329685,-41.749713590791494,-56.4821163717443,2015-05-20 16:20:00,2015-05-21 11:50:00,BHS,CHN
308564000,412329691,-46.78818075854477,-60.284798347929474,2015-06-04 00:10:00,2015-06-04 16:30:00,BHS,CHN
308564000,412329685,-41.75721190750067,-56.75685755553036,2015-05-20 12:50:00,2015-05-20 16:20:00,BHS,CHN
308564000,412329686,-42.334629770912755,-56.78347220811608,2015-05-28 23:10:00,2015-05-29 16:40:00,BHS,CHN
308564000,412329687,-45.6942215800594,-60.02252809093003,2015-06-01 23:40:00,2015-06-02 08:10:00,BHS,CHN
308564000,412329691,-46.80335213968371,-60.29958637707409,2015-06-04 00:10:00,2015-06-04 06:00:00,BHS,CHN
308564000,412329691,-46.708430320137715,-60.2055944698838,2015-06-04 13:10:00,2015-06-04 16:30:00,BHS,CHN
308564000,412329686,-42.283778161849824,-56.818633236641425,2015-05-28 23:10:00,2015-05-29 09:40:00,BHS,CHN
308564000,412329691,-41.83193008590217,-56.89149557892217,2015-05-20 02:50:00,2015-05-20 07:20:00,BHS,CHN
308564000,412329686,-42.4831947085986,-56.680981242313926,2015-05-29 13:10:00,2015-05-29 16:40:00,BHS,CHN
308564000,412329691,-41.932276991585425,-57.04708899984591,2015-05-19 05:00:00,2015-05-20 11:50:00,BHS,CHN
308564000,412329694,-42.19446185733279,-57.57398900498382,2015-05-30 07:00:00,2015-05-31 07:50:00,BHS,CHN
529844000,412329686,-46.678702069747224,-60.6743173529609,2016-10-01 22:10:00,2016-10-02 02:20:00,KIR,CHN
