,Gross domestic product 2021,,,,
,,,,,
,,,,(millions of,
Code,Ranking,,Economy,US dollars),
,,,,,
GUM,158,,Guam,"5,844",
MNE,159,,Montenegro,"5,809",
PYF,160,,French Polynesia,"5,669",
CYM,161,,Cayman Islands,"5,609",
SWZ,162,,Eswatini,"4,941",
BRB,163,,Barbados,"4,901",
MDV,164,,Maldives,"4,890",
FJI,165,,Fiji,"4,592",
VIR,166,,Virgin Islands (U.S.),"4,204",
SLE,167,,Sierra Leone,"4,200",
LBR,168,,Liberia,"3,487",
DJI,169,,Djibouti,"3,371",
AND,170,,Andorra,"3,330",
FRO,171,,Faroe Islands,"3,241",
GRL,172,,Greenland,"3,076",
BDI,173,,Burundi,"2,902",
SUR,174,,Suriname,"2,862",
LSO,175,,Lesotho,"2,518",
CAF,176,,Central African Republic,"2,516",
ABW,177,,Aruba,"2,497",
CUW,178,,Curaçao,"2,496",
BTN,179,,Bhutan,"2,315",
GMB,180,,"Gambia, The","2,078",
TLS,181,,Timor-Leste,"1,959",
CPV,182,,Cabo Verde,"1,936",
BLZ,183,,Belize,"1,790",
LCA,184,,St. Lucia,"1,765",
SLB,185,,Solomon Islands,"1,645",
GNB,186,,Guinea-Bissau,"1,639",
SMR,187,,San Marino,"1,545",
ATG,188,,Antigua and Barbuda,"1,471",
COM,189,,Comoros,"1,328",
SYC,190,,Seychelles,"1,320",
MNP,191,,Northern Mariana Islands,"1,182",
GRD,192,,Grenada,"1,122",
VUT,193,,Vanuatu,983,
KNA,194,,St. Kitts and Nevis,976,
TCA,195,,Turks and Caicos Islands,943,
VCT,196,,St. Vincent and the Grenadines,890,
WSM,197,,Samoa,788,
ASM,198,,American Samoa,709,
STP,199,,São Tomé and Principe,547,
DMA,200,,Dominica,546,
TON,201,,Tonga,489,
FSM,202,,"Micronesia, Fed. Sts.",404,
PLW,203,,Palau,258,
MHL,204,,Marshall Islands,249,
KIR,205,,Kiribati,181,
NRU,206,,Nauru,133,
TUV,207,,Tuvalu,63,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
SYR,,,Syrian Arab Republic, -   ,
VEN,,,"Venezuela, RB", -   ,
,,,,,
,,,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
